game_id,universal_game_id,sport_id,league_id,sportsbook_id,start_date,team,opponent,game_description,is_live,moneyline,opp_moneyline,spread,opp_spread,spread_price,opp_spread_price,over_under,over_price,under_price,first_half_moneyline,opp_first_half_moneyline,first_half_spread,opp_first_half_spread,first_half_spread_price,opp_first_half_spread_price,first_half_total_points,first_half_over_price,first_half_under_price,moneyline_first_quarter,opp_moneyline_first_quarter,first_quarter_spread,opp_first_quarter_spread,first_quarter_spread_price,opp_first_quarter_spread_price,first_quarter_total_points,first_quarter_over,first_quarter_under,changed_date,check_in_date,vegas_implied_score,opp_vegas_implied_score,over_percent,opp_over_percent,date_captured,hour_captured,min_captured
410064,3595946,Football,NFL,Bovada,2020-11-15T18:00:00Z,Philadelphia Eagles,New York Giants,Philadelphia Eagles vs New York Giants,0,-220,180,-4.5,4.5,-110,-110,44.5,-110.0,-110.0,-190,145,,,,,21.5,-115,-105,-160,125,-0.5,0.5,105,-140,7.5,-105,-125,2020-11-15T16:09:36Z,2020-11-15T16:12:38Z,24.5,20.0,1.816326530612245,2.225,2020-11-15,10,12
167300,2441488,Football,NFL,Bovada,2020-11-15T18:00:00Z,Jacksonville Jaguars,Green Bay Packers,Jacksonville Jaguars vs Green Bay Packers,0,700,-1200,14.0,-14.0,-115,-105,47.0,-110.0,-110.0,300,-450,7.5,-7.5,-110.0,-110.0,24.0,105,-125,235,-325,4.0,-4.0,-115,-115,10.0,105,-140,2020-11-15T16:00:26Z,2020-11-15T16:12:38Z,16.5,30.5,2.8484848484848486,1.540983606557377,2020-11-15,10,12
407732,3380783,Football,NFL,Bovada,2020-11-15T18:00:00Z,Tampa Bay Buccaneers,Carolina Panthers,Tampa Bay Buccaneers vs Carolina Panthers,0,-260,215,-6.0,6.0,-110,-110,49.5,-110.0,-110.0,-215,160,-3.5,3.5,100.0,-120.0,24.5,100,-120,-175,130,-0.5,0.5,-105,-125,9.5,-140,105,2020-11-15T15:54:56Z,2020-11-15T16:12:38Z,27.75,21.75,1.7837837837837838,2.2758620689655173,2020-11-15,10,12
221460,2971061,Football,NFL,Bovada,2020-11-15T18:00:00Z,Houston Texans,Cleveland Browns,Houston Texans vs Cleveland Browns,0,175,-210,4.5,-4.5,-115,-105,45.0,-105.0,-115.0,145,-190,3.0,-3.0,-105.0,-115.0,22.5,-115,-105,135,-180,0.5,-0.5,-120,-110,9.5,100,-130,2020-11-15T16:12:06Z,2020-11-15T16:12:38Z,20.25,24.75,2.2222222222222223,1.8181818181818181,2020-11-15,10,12
177932,1719191,Football,NFL,Bovada,2020-11-15T18:00:00Z,Washington Football Team,Detroit Lions,Washington Football Team vs Detroit Lions,0,125,-145,3.0,-3.0,-120,100,45.5,-110.0,-110.0,130,-170,2.5,-2.5,-115.0,-105.0,23.0,-105,-115,125,-170,0.5,-0.5,-130,100,9.5,100,-130,2020-11-15T16:04:06Z,2020-11-15T16:12:38Z,21.25,24.25,2.1411764705882352,1.8762886597938144,2020-11-15,10,12
683074,1189705,Football,NFL,Bovada,2020-11-15T21:05:00Z,Denver Broncos,Las Vegas Raiders,Denver Broncos vs Las Vegas Raiders,0,160,-180,3.5,-3.5,-120,100,51.0,-105.0,-115.0,130,-170,2.5,-2.5,-110.0,-110.0,24.5,100,-120,120,-150,0.5,-0.5,-135,100,10.0,-105,-125,2020-11-15T16:03:36Z,2020-11-15T16:12:38Z,23.75,27.25,2.1473684210526316,1.871559633027523,2020-11-15,10,12
392771,6894794,Football,NFL,Bovada,2020-11-15T21:05:00Z,Buffalo Bills,Arizona Cardinals,Buffalo Bills vs Arizona Cardinals,0,125,-145,2.5,-2.5,-105,-115,,,,110,-145,1.0,-1.0,-110.0,-110.0,27.5,-105,-115,120,-160,0.5,-0.5,-125,-105,10.0,-140,105,2020-11-15T15:43:46Z,2020-11-15T16:12:38Z,,,,,2020-11-15,10,12
228853,2898217,Football,NFL,Bovada,2020-11-15T21:05:00Z,Los Angeles Chargers,Miami Dolphins,Los Angeles Chargers vs Miami Dolphins,0,105,-125,2.0,-2.0,-110,-110,49.0,-105.0,-115.0,-105,-125,0.5,-0.5,-115.0,-105.0,24.0,-110,-110,100,-130,0.5,-0.5,-160,120,9.5,-140,105,2020-11-15T15:25:41Z,2020-11-15T16:12:38Z,23.5,25.5,2.0851063829787235,1.9215686274509804,2020-11-15,10,12
159946,3872126,Football,NFL,Bovada,2020-11-15T21:25:00Z,Seattle Seahawks,Los Angeles Rams,Seattle Seahawks vs Los Angeles Rams,0,120,-140,2.5,-2.5,-105,-115,55.0,-110.0,-110.0,115,-150,1.0,-1.0,-110.0,-110.0,27.0,-110,-110,110,-145,0.5,-0.5,-135,100,10.0,-130,100,2020-11-15T15:15:06Z,2020-11-15T16:12:38Z,26.25,28.75,2.0952380952380953,1.9130434782608696,2020-11-15,10,12
263579,4244175,Football,NFL,Bovada,2020-11-15T21:25:00Z,San Francisco 49ers,New Orleans Saints,San Francisco 49ers vs New Orleans Saints,0,330,-460,9.5,-9.5,-110,-110,49.0,-110.0,-110.0,235,-330,6.0,-6.0,-115.0,-105.0,24.0,-115,-105,205,-280,3.5,-3.5,-125,-105,10.0,100,-130,2020-11-15T15:56:17Z,2020-11-15T16:12:38Z,19.75,29.25,2.481012658227848,1.6752136752136753,2020-11-15,10,12
205751,2402860,Football,NFL,Bovada,2020-11-15T21:25:00Z,Cincinnati Bengals,Pittsburgh Steelers,Cincinnati Bengals vs Pittsburgh Steelers,0,250,-300,6.5,-6.5,-110,-110,44.5,-105.0,-115.0,180,-245,3.5,-3.5,-105.0,-115.0,22.5,-110,-110,170,-220,2.5,-2.5,-110,-120,9.5,-110,-120,2020-11-15T15:47:51Z,2020-11-15T16:12:38Z,19.0,25.5,2.3421052631578947,1.7450980392156863,2020-11-15,10,12
239139,1533577,Football,NFL,Bovada,2020-11-16T01:20:00Z,Baltimore Ravens,New England Patriots,Baltimore Ravens vs New England Patriots,0,-300,250,-7.0,7.0,-105,-115,43.5,-110.0,-110.0,-260,190,-4.0,4.0,-105.0,-115.0,21.5,-105,-115,-200,150,-0.5,0.5,-110,-120,7.5,-105,-125,2020-11-15T15:41:46Z,2020-11-15T16:12:38Z,25.25,18.25,1.7227722772277227,2.3835616438356166,2020-11-15,10,12
142056,4114424,Football,NFL,Bovada,2020-11-17T01:15:00Z,Minnesota Vikings,Chicago Bears,Minnesota Vikings vs Chicago Bears,0,-180,160,-3.0,3.0,-120,100,43.5,-110.0,-110.0,-165,125,-2.5,2.5,-110.0,-110.0,21.5,100,-120,-150,115,-0.5,0.5,115,-150,7.5,-110,-120,2020-11-15T15:50:41Z,2020-11-15T16:12:38Z,23.25,20.25,1.8709677419354838,2.1481481481481484,2020-11-15,10,12
410064,3595946,Football,NFL,Bovada,2020-11-15T18:00:00Z,New York Giants,Philadelphia Eagles,Philadelphia Eagles vs New York Giants,0,180,-220,4.5,-4.5,-110,-110,44.5,-110.0,-110.0,145,-190,,,,,21.5,-115,-105,125,-160,0.5,-0.5,-140,105,7.5,-105,-125,2020-11-15T16:09:36Z,2020-11-15T16:12:38Z,20.0,24.5,2.225,1.816326530612245,2020-11-15,10,12
167300,2441488,Football,NFL,Bovada,2020-11-15T18:00:00Z,Green Bay Packers,Jacksonville Jaguars,Jacksonville Jaguars vs Green Bay Packers,0,-1200,700,-14.0,14.0,-105,-115,47.0,-110.0,-110.0,-450,300,-7.5,7.5,-110.0,-110.0,24.0,105,-125,-325,235,-4.0,4.0,-115,-115,10.0,105,-140,2020-11-15T16:00:26Z,2020-11-15T16:12:38Z,30.5,16.5,1.540983606557377,2.8484848484848486,2020-11-15,10,12
407732,3380783,Football,NFL,Bovada,2020-11-15T18:00:00Z,Carolina Panthers,Tampa Bay Buccaneers,Tampa Bay Buccaneers vs Carolina Panthers,0,215,-260,6.0,-6.0,-110,-110,49.5,-110.0,-110.0,160,-215,3.5,-3.5,-120.0,100.0,24.5,100,-120,130,-175,0.5,-0.5,-125,-105,9.5,-140,105,2020-11-15T15:54:56Z,2020-11-15T16:12:38Z,21.75,27.75,2.2758620689655173,1.7837837837837838,2020-11-15,10,12
221460,2971061,Football,NFL,Bovada,2020-11-15T18:00:00Z,Cleveland Browns,Houston Texans,Houston Texans vs Cleveland Browns,0,-210,175,-4.5,4.5,-105,-115,45.0,-105.0,-115.0,-190,145,-3.0,3.0,-115.0,-105.0,22.5,-115,-105,-180,135,-0.5,0.5,-110,-120,9.5,100,-130,2020-11-15T16:12:06Z,2020-11-15T16:12:38Z,24.75,20.25,1.8181818181818181,2.2222222222222223,2020-11-15,10,12
177932,1719191,Football,NFL,Bovada,2020-11-15T18:00:00Z,Detroit Lions,Washington Football Team,Washington Football Team vs Detroit Lions,0,-145,125,-3.0,3.0,100,-120,45.5,-110.0,-110.0,-170,130,-2.5,2.5,-105.0,-115.0,23.0,-105,-115,-170,125,-0.5,0.5,100,-130,9.5,100,-130,2020-11-15T16:04:06Z,2020-11-15T16:12:38Z,24.25,21.25,1.8762886597938144,2.1411764705882352,2020-11-15,10,12
683074,1189705,Football,NFL,Bovada,2020-11-15T21:05:00Z,Las Vegas Raiders,Denver Broncos,Denver Broncos vs Las Vegas Raiders,0,-180,160,-3.5,3.5,100,-120,51.0,-105.0,-115.0,-170,130,-2.5,2.5,-110.0,-110.0,24.5,100,-120,-150,120,-0.5,0.5,100,-135,10.0,-105,-125,2020-11-15T16:03:36Z,2020-11-15T16:12:38Z,27.25,23.75,1.871559633027523,2.1473684210526316,2020-11-15,10,12
392771,6894794,Football,NFL,Bovada,2020-11-15T21:05:00Z,Arizona Cardinals,Buffalo Bills,Buffalo Bills vs Arizona Cardinals,0,-145,125,-2.5,2.5,-115,-105,,,,-145,110,-1.0,1.0,-110.0,-110.0,27.5,-105,-115,-160,120,-0.5,0.5,-105,-125,10.0,-140,105,2020-11-15T15:43:46Z,2020-11-15T16:12:38Z,,,,,2020-11-15,10,12
228853,2898217,Football,NFL,Bovada,2020-11-15T21:05:00Z,Miami Dolphins,Los Angeles Chargers,Los Angeles Chargers vs Miami Dolphins,0,-125,105,-2.0,2.0,-110,-110,49.0,-105.0,-115.0,-125,-105,-0.5,0.5,-105.0,-115.0,24.0,-110,-110,-130,100,-0.5,0.5,120,-160,9.5,-140,105,2020-11-15T15:25:41Z,2020-11-15T16:12:38Z,25.5,23.5,1.9215686274509804,2.0851063829787235,2020-11-15,10,12
159946,3872126,Football,NFL,Bovada,2020-11-15T21:25:00Z,Los Angeles Rams,Seattle Seahawks,Seattle Seahawks vs Los Angeles Rams,0,-140,120,-2.5,2.5,-115,-105,55.0,-110.0,-110.0,-150,115,-1.0,1.0,-110.0,-110.0,27.0,-110,-110,-145,110,-0.5,0.5,100,-135,10.0,-130,100,2020-11-15T15:15:06Z,2020-11-15T16:12:38Z,28.75,26.25,1.9130434782608696,2.0952380952380953,2020-11-15,10,12
263579,4244175,Football,NFL,Bovada,2020-11-15T21:25:00Z,New Orleans Saints,San Francisco 49ers,San Francisco 49ers vs New Orleans Saints,0,-460,330,-9.5,9.5,-110,-110,49.0,-110.0,-110.0,-330,235,-6.0,6.0,-105.0,-115.0,24.0,-115,-105,-280,205,-3.5,3.5,-105,-125,10.0,100,-130,2020-11-15T15:56:17Z,2020-11-15T16:12:38Z,29.25,19.75,1.6752136752136753,2.481012658227848,2020-11-15,10,12
205751,2402860,Football,NFL,Bovada,2020-11-15T21:25:00Z,Pittsburgh Steelers,Cincinnati Bengals,Cincinnati Bengals vs Pittsburgh Steelers,0,-300,250,-6.5,6.5,-110,-110,44.5,-105.0,-115.0,-245,180,-3.5,3.5,-115.0,-105.0,22.5,-110,-110,-220,170,-2.5,2.5,-120,-110,9.5,-110,-120,2020-11-15T15:47:51Z,2020-11-15T16:12:38Z,25.5,19.0,1.7450980392156863,2.3421052631578947,2020-11-15,10,12
239139,1533577,Football,NFL,Bovada,2020-11-16T01:20:00Z,New England Patriots,Baltimore Ravens,Baltimore Ravens vs New England Patriots,0,250,-300,7.0,-7.0,-115,-105,43.5,-110.0,-110.0,190,-260,4.0,-4.0,-115.0,-105.0,21.5,-105,-115,150,-200,0.5,-0.5,-120,-110,7.5,-105,-125,2020-11-15T15:41:46Z,2020-11-15T16:12:38Z,18.25,25.25,2.3835616438356166,1.7227722772277227,2020-11-15,10,12
142056,4114424,Football,NFL,Bovada,2020-11-17T01:15:00Z,Chicago Bears,Minnesota Vikings,Minnesota Vikings vs Chicago Bears,0,160,-180,3.0,-3.0,100,-120,43.5,-110.0,-110.0,125,-165,2.5,-2.5,-110.0,-110.0,21.5,100,-120,115,-150,0.5,-0.5,-150,115,7.5,-110,-120,2020-11-15T15:50:41Z,2020-11-15T16:12:38Z,20.25,23.25,2.1481481481481484,1.8709677419354838,2020-11-15,10,12
